Date Created,Number of Likes,Source of Tweet,Tweets
2023-02-22 19:13:39+00:00,147,Twitter for iPad,"Update: Es brannte eine Wohnung im 1.OG. 10 Personen wurden durch die Feuerwehr gerettet, davon 5 Personen über die Drehleiter. Nach der Sichtung von 13 Personen mussten 8 Verletzte in umliegende Krankenhäuser versorgt werden, davon 1 Person mit lebensgefährlichen Verletzungen. https://t.co/vhMbjXKSo7"
2023-02-22 17:21:42+00:00,264,Twitter for iPad,#Brand in #Spandau im 3.OG eines 4-geschossigen Wohngebäudes. Es wurden bereits 4 Personen über die Drehleiter der Feuerwehr gerettet. Eine Person wurde mit Hilfe eines Sprungpolsters gerettet. Die Brandbekämpfung wurde eingeleitet. 76 Einsatzkräften sind vor Ort. Update folgt...
2023-02-21 08:59:53+00:00,305,Twitter for iPhone,"Unsere #Lehrfeuerwache (LFW) wächst und geht heute an ihrem neuen und dritten Standort auf der #FW_Buckow an den Start. Damit stehen unseren Nachwuchskräften nun 3 „LHF-LFW“ für ihr Praktikum zur Verfügung. Erste Standorte:
#FW_Suarez (1) und #FW_Wedding (2).
#WirRettenBerlin https://t.co/vou2Yapy9t"
2023-02-21 08:30:05+00:00,147,Swat.io,Ein halbes Jahr Arbeit und Herzblut steckt in unserer Kampagne #DieRichtigeNummerImRichtigenMoment. Wir sagen Dankeschön – insbesondere an die Kolleg:innen unserer Leitstelle der #BerlinerFeuerwehr und des Ärztlichen Bereitschaftsdienstes der KV Berlin. @hauptstadt_kv https://t.co/EFTercaitM
2023-02-20 15:03:51+00:00,351,Twitter for iPhone,"#Tierrettung in #Spandau
Ein Schwan ist gegen ein Hallentor einer Werkstatt geflogen und taumelte 
 etwas hilflos umher. Die Mitarbeiter kümmerten sich um das Tier und riefen die Feuerwehr. Bei unserem Eintreffen ging es ihm wieder gut. Wir brachten ihn zum benachbarten Gewässer. https://t.co/OTL3uYXp7X"
2023-02-18 14:29:42+00:00,136,Twitter for iPhone,Bei der #GefahrenlagePolizei handelt es sich um ein Alarmierungsstichwort der @Berliner_Fw. Verletzte und Betroffene Personen wurden rettungsdienstlich versorgt und teilweise in Kliniken verbracht. Die Einsatzstelle ist unter Kontrolle #EstuK und wird an die @bpol_b übergeben.
2023-02-18 13:34:02+00:00,276,Twitter for iPhone,#GefahrenlagePolizei am #Europaplatz in #Moabit. Wir sind mit 47 Kräften vor Ort oder auf der Anfahrt. Update folgt…
2023-02-17 08:30:20+00:00,78,Swat.io,"Was tust du bei einer Erkältung?
Pascal von der @hauptstadt_kv  zählt einige Möglichkeiten bei geschlossener Hausarztpraxis oder am Wochenende auf.
Welche Hausmittelchen oder Tricks von Oma helfen dir, damit es dir schnell wieder besser geht?

#DierichtigeNummerimrichtigenMoment https://t.co/s2E8YSAbGj"
2023-02-15 10:06:36+00:00,121,Twitter for iPhone,"An der #Kopenhagener Str. in #Reinickendorf wurde bei Bauarbeiten eine Gasleitung beschädigt. Keine Verletzten! Keine Räumungen, aber weitreichende Absperrungen. Wir sichern den Brandschutz und unterstützen @NBB_DE bei der Schadensbehebung."
2023-02-15 08:30:23+00:00,113,Swat.io,"Weißt du was bei Bewusstlosigkeit zu tun ist?
Wie kontrollierst du Atmung und den Bewusstseinzustand?
Wann und wie bringst du jemanden in die stabile Seitenlage?
Sind dir die Begriffe noch geläufig?
Wann war dein letzter Erste-Hilfe-Kurs?

#DierichtigeNummerimrichtigenMoment https://t.co/hFdsZAjSkE"
